,PlayerName,PlayerTeam,OpposingTeam,Date,GameID,Season,Min,SST,Pts,PPP,Ast,T/O,Ast/TO,Stl,StlPos,Blk,BlkFGA,TtlReb,OffReb,DefReb,FGA,FGM,FGm,2FGA,2FGM,2FGm,3FGA,3FGM,3FGm,FTA,FTM,FTm,PFTkn,PFCom
0,PJ Tucker,Houston Rockets,Philadelphia 76ers,2020-08-14,732811,2019 - 2020,29:03,0.53,7,1.17,2,0,0.0,0,0,1,1,1,0,1,6,3,3,2,2,0,4,1,3,0,0,0,1,2
1,Hamidou Diallo,Oklahoma City Thunder,Los Angeles Clippers,2020-08-14,732813,2019 - 2020,39:47,1.36,27,1.04,1,2,0.5,0,2,1,0,11,4,7,22,10,12,14,6,8,8,4,4,5,3,2,5,5
2,Danilo Galinari,Oklahoma City Thunder,Los Angeles Clippers,2020-08-14,732813,2019 - 2020,8:52,1.39,3,0.75,0,0,0.0,0,0,0,0,1,0,1,3,0,3,2,0,2,1,0,1,3,3,0,1,2
3,Nerlens Noel,Oklahoma City Thunder,Los Angeles Clippers,2020-08-14,732813,2019 - 2020,15:22,0.59,5,1.00,0,2,0.0,0,2,1,0,1,0,1,2,2,0,2,2,0,0,0,0,2,1,1,1,3
4,Steven Adams,Oklahoma City Thunder,Los Angeles Clippers,2020-08-14,732813,2019 - 2020,6:22,0.35,0,0.00,0,1,0.0,0,1,0,0,4,2,2,2,0,2,2,0,2,0,0,0,0,0,0,0,0
5,Devon Hall,Oklahoma City Thunder,Los Angeles Clippers,2020-08-14,732813,2019 - 2020,24:16,1.09,12,0.80,4,1,4.0,3,1,0,0,1,1,0,12,4,8,6,1,5,6,3,3,4,1,3,3,2
6,Kevin Hervey,Oklahoma City Thunder,Los Angeles Clippers,2020-08-14,732813,2019 - 2020,11:11,1.03,5,0.83,1,0,0.0,0,0,0,0,4,1,3,6,2,4,1,1,0,5,1,4,0,0,0,0,2
7,Dennis Schroder,Oklahoma City Thunder,Los Angeles Clippers,2020-08-14,732813,2019 - 2020,25:29,1.34,17,1.13,4,2,2.0,1,0,0,2,1,0,1,12,6,6,9,3,6,3,3,0,2,2,0,1,4
8,Andre Roberson,Oklahoma City Thunder,Los Angeles Clippers,2020-08-14,732813,2019 - 2020,28:07,0.44,3,0.30,2,0,0.0,0,0,1,0,5,1,4,9,1,8,3,1,2,6,0,6,2,1,1,1,4
9,Terrance Ferguson,Oklahoma City Thunder,Los Angeles Clippers,2020-08-14,732813,2019 - 2020,17:28,-.03,0,0.00,0,0,0.0,0,0,0,0,1,0,1,2,0,2,0,0,0,2,0,2,0,0,0,1,4