,Date,Game_ID,Season,H_Team,A_Team,H_Team_Record,A_Team_Record,H_Team_Home_Record,A_Team_Away_Record,H_Points,A_Points,H_Total_Rebounds,A_Total_Rebounds,H_Offensive_Rebounds,A_Offensive_Rebounds,H_Defensive_Rebounds,A_Defensive_Rebounds,H_Assists,A_Assists,H_Turnovers,A_Turnovers,H_Steals,A_Steals,H_Blocks,A_Blocks,H_All_Free_Throws,A_All_Free_Throws,H_Live_Free_Throws,A_Live_Free_Throws,H_FG_Attempts,A_FG_Attempts,H_FG_Made,A_FG_Made,H_FG_Missed,A_FG_Missed,H_2FG_Attempts,A_2FG_Attempts,H_2FG_Made,A_2FG_Made,H_2FG_Missed,A_2FG_Missed,H_3FG_Attempts,A_3FG_Attempts,H_3FG_Made,A_3FG_Made,H_3FG_Missed,A_3FG_Missed,H_Points_1,A_Points_1,H_Total_Rebounds_1,A_Total_Rebounds_1,H_Offensive_Rebounds_1,A_Offensive_Rebounds_1,H_Defensive_Rebounds_1,A_Defensive_Rebounds_1,H_Assists_1,A_Assists_1,H_Turnovers_1,A_Turnovers_1,H_Steals_1,A_Steals_1,H_Blocks_1,A_Blocks_1,H_All_Free_Throws_1,A_All_Free_Throws_1,H_Live_Free_Throws_1,A_Live_Free_Throws_1,H_FG_Attempts_1,A_FG_Attempts_1,H_FG_Made_1,A_FG_Made_1,H_FG_Missed_1,A_FG_Missed_1,H_2FG_Attempts_1,A_2FG_Attempts_1,H_2FG_Made_1,A_2FG_Made_1,H_2FG_Missed_1,A_2FG_Missed_1,H_3FG_Attempts_1,A_3FG_Attempts_1,H_3FG_Made_1,A_3FG_Made_1,H_3FG_Missed_1,A_3FG_Missed_1,H_Points_2,A_Points_2,H_Total_Rebounds_2,A_Total_Rebounds_2,H_Offensive_Rebounds_2,A_Offensive_Rebounds_2,H_Defensive_Rebounds_2,A_Defensive_Rebounds_2,H_Assists_2,A_Assists_2,H_Turnovers_2,A_Turnovers_2,H_Steals_2,A_Steals_2,H_Blocks_2,A_Blocks_2,H_All_Free_Throws_2,A_All_Free_Throws_2,H_Live_Free_Throws_2,A_Live_Free_Throws_2,H_FG_Attempts_2,A_FG_Attempts_2,H_FG_Made_2,A_FG_Made_2,H_FG_Missed_2,A_FG_Missed_2,H_2FG_Attempts_2,A_2FG_Attempts_2,H_2FG_Made_2,A_2FG_Made_2,H_2FG_Missed_2,A_2FG_Missed_2,H_3FG_Attempts_2,A_3FG_Attempts_2,H_3FG_Made_2,A_3FG_Made_2,H_3FG_Missed_2,A_3FG_Missed_2,H_Points_3,A_Points_3,H_Total_Rebounds_3,A_Total_Rebounds_3,H_Offensive_Rebounds_3,A_Offensive_Rebounds_3,H_Defensive_Rebounds_3,A_Defensive_Rebounds_3,H_Assists_3,A_Assists_3,H_Turnovers_3,A_Turnovers_3,H_Steals_3,A_Steals_3,H_Blocks_3,A_Blocks_3,H_All_Free_Throws_3,A_All_Free_Throws_3,H_Live_Free_Throws_3,A_Live_Free_Throws_3,H_FG_Attempts_3,A_FG_Attempts_3,H_FG_Made_3,A_FG_Made_3,H_FG_Missed_3,A_FG_Missed_3,H_2FG_Attempts_3,A_2FG_Attempts_3,H_2FG_Made_3,A_2FG_Made_3,H_2FG_Missed_3,A_2FG_Missed_3,H_3FG_Attempts_3,A_3FG_Attempts_3,H_3FG_Made_3,A_3FG_Made_3,H_3FG_Missed_3,A_3FG_Missed_3,H_Points_4,A_Points_4,H_Total_Rebounds_4,A_Total_Rebounds_4,H_Offensive_Rebounds_4,A_Offensive_Rebounds_4,H_Defensive_Rebounds_4,A_Defensive_Rebounds_4,H_Assists_4,A_Assists_4,H_Turnovers_4,A_Turnovers_4,H_Steals_4,A_Steals_4,H_Blocks_4,A_Blocks_4,H_All_Free_Throws_4,A_All_Free_Throws_4,H_Live_Free_Throws_4,A_Live_Free_Throws_4,H_FG_Attempts_4,A_FG_Attempts_4,H_FG_Made_4,A_FG_Made_4,H_FG_Missed_4,A_FG_Missed_4,H_2FG_Attempts_4,A_2FG_Attempts_4,H_2FG_Made_4,A_2FG_Made_4,H_2FG_Missed_4,A_2FG_Missed_4,H_3FG_Attempts_4,A_3FG_Attempts_4,H_3FG_Made_4,A_3FG_Made_4,H_3FG_Missed_4,A_3FG_Missed_4
0,2020-08-14,732811,2019 - 2020,Houston Rockets,Philadelphia 76ers,44 - 27,42 - 30,24 - 11,11 - 26,96,134,27,51,1,8,26,43,25,31,17,16,10,8,9,4,16,22,9,10,80,87,35,49,45,38,32,49,23,31,9,18,48,38,12,18,36,20,26,39,7,15,0,3,7,12,5,6,2,4,2,3,6,1,9,6,5,3,21,25,8,14,13,11,8,16,6,8,2,8,13,9,2,6,11,3,21,32,2,11,0,3,2,8,8,7,5,3,4,1,0,1,2,2,1,1,17,20,8,13,9,7,9,13,5,9,4,4,8,7,3,4,5,3,30,32,7,10,0,1,7,9,9,8,5,5,0,3,1,0,1,3,1,1,21,22,12,12,9,10,7,11,7,7,0,4,14,11,5,5,9,6,19,31,11,15,1,1,10,14,3,10,5,3,2,3,2,2,4,11,2,5,21,20,7,10,14,10,8,9,5,7,3,2,13,11,2,3,11,8
1,2020-08-14,732814,2019 - 2020,Toronto Raptors,Denver Nuggets,52 - 19,46 - 26,25 - 10,20 - 15,117,109,51,41,13,9,38,32,27,27,19,15,8,9,5,11,14,23,9,11,90,87,45,36,45,51,55,49,27,20,28,29,35,38,18,16,17,22,31,23,12,7,3,3,9,4,8,7,6,5,4,3,1,2,5,0,3,0,20,22,12,9,8,13,12,11,9,4,3,7,8,11,3,5,5,6,27,27,11,9,0,2,11,7,6,8,7,3,2,2,2,0,3,2,2,0,17,24,10,10,7,14,8,12,6,5,2,7,9,12,4,5,5,7,27,26,19,16,7,2,12,14,6,6,3,3,1,3,1,6,5,12,3,7,29,20,10,7,19,13,21,11,5,5,16,6,8,9,5,2,3,7,32,33,8,10,3,2,5,8,7,6,3,4,2,0,1,3,1,9,1,4,24,21,13,10,11,11,14,15,7,6,7,9,10,6,6,4,4,2
2,2020-08-14,732812,2019 - 2020,Indiana Pacers,Miami Heat,44 - 28,44 - 28,24 - 11,15 - 21,109,92,51,48,12,14,39,34,32,14,19,19,11,6,3,5,11,27,6,15,89,87,43,31,46,56,51,49,28,21,23,28,38,38,15,10,23,28,28,13,18,10,4,1,14,9,8,4,2,2,0,1,2,1,2,2,1,1,24,23,11,5,13,18,11,14,6,4,5,10,13,9,5,1,8,8,30,31,9,15,1,5,8,10,6,5,5,5,2,1,0,2,8,12,4,6,20,20,10,10,10,10,11,11,6,7,5,4,9,9,4,3,5,6,26,26,13,8,4,3,9,5,10,4,7,3,2,1,0,0,1,4,1,3,20,23,11,9,9,14,14,11,8,5,6,6,6,12,3,4,3,8,25,22,11,15,3,5,8,10,8,2,5,9,2,8,1,2,0,9,0,5,25,21,11,7,14,14,15,13,8,5,7,8,10,8,3,2,7,6
3,2020-08-13,732808,2019 - 2020,Orlando Magic,New Orleans Pelicans,32 - 40,30 - 41,17 - 17,15 - 20,133,127,33,40,6,9,27,31,25,22,12,13,6,6,2,4,30,26,16,14,84,87,48,48,36,39,56,53,33,38,23,15,28,34,15,10,13,24,34,31,8,12,2,1,6,11,9,7,1,4,1,2,0,1,4,0,3,0,24,21,12,13,12,8,13,11,4,9,9,2,11,10,8,4,3,6,43,30,7,6,2,1,5,5,7,7,2,4,1,3,0,1,9,8,5,4,24,17,16,11,8,6,17,11,11,8,6,3,7,6,5,3,2,3,22,26,10,11,1,2,9,9,4,3,3,2,1,0,0,1,2,6,1,3,20,22,10,10,10,12,15,15,10,9,5,6,5,7,0,1,5,6,34,40,8,11,1,5,7,6,5,5,6,3,3,1,2,1,15,12,7,7,16,27,10,14,6,13,11,16,8,12,3,4,5,11,2,2,3,9
4,2020-08-13,732809,2019 - 2020,Phoenix Suns,Dallas Mavericks,33 - 39,43 - 31,16 - 22,23 - 13,128,102,45,43,7,11,38,32,34,17,5,11,6,3,4,4,21,19,10,10,89,89,49,39,40,50,55,63,35,31,20,32,34,26,14,8,20,18,36,25,12,9,1,2,11,7,8,3,0,2,0,2,1,1,4,5,2,2,23,22,14,9,9,13,16,14,10,7,6,7,7,8,4,2,3,6,40,32,8,9,2,4,6,5,9,5,2,3,2,1,1,0,9,6,4,3,21,22,15,12,6,10,14,17,11,9,3,8,7,5,4,3,3,2,28,22,12,11,2,2,10,9,11,4,2,3,1,2,1,1,2,0,1,0,24,24,12,10,12,14,13,17,9,8,4,9,11,7,3,2,8,5,24,23,13,14,2,3,11,11,6,5,1,3,0,1,1,2,6,8,3,5,21,21,8,8,13,13,12,15,5,7,7,8,9,6,3,1,6,5
5,2020-08-13,732806,2019 - 2020,Los Angeles Lakers,Sacramento Kings,52 - 18,30 - 41,25 - 9,14 - 22,122,136,47,44,15,9,32,35,29,37,17,14,6,12,1,2,15,12,9,7,98,95,48,54,50,41,63,48,33,33,30,15,35,47,15,21,20,26,40,30,13,8,4,1,9,7,9,7,3,2,3,1,0,1,5,4,3,2,26,22,14,12,12,10,12,11,6,9,6,2,14,11,8,3,6,8,16,36,11,12,4,2,7,10,2,9,6,4,2,1,0,1,4,1,2,1,21,23,6,15,15,8,13,11,5,9,8,2,8,12,1,6,7,6,28,41,11,14,2,4,9,10,8,13,3,1,2,0,0,0,1,7,1,4,24,26,13,14,11,12,19,12,11,5,8,7,5,14,2,9,3,5,38,29,12,10,5,2,7,8,9,8,5,7,5,4,1,0,5,0,3,0,27,24,15,13,12,11,19,14,11,10,8,4,8,10,4,3,4,7
6,2020-08-13,732805,2019 - 2020,Brooklyn Nets,Portland Trail Blazers,35 - 36,34 - 39,20 - 15,13 - 24,133,134,46,42,12,14,34,28,28,25,14,9,5,10,5,4,19,24,11,13,96,104,53,50,43,54,63,65,39,37,24,28,33,39,14,13,19,26,31,31,8,13,1,4,7,9,6,8,2,2,2,1,2,0,7,0,4,0,20,29,11,15,9,14,10,23,7,14,3,9,10,6,4,1,6,5,36,42,7,12,0,4,7,8,9,6,5,4,4,3,2,3,4,8,2,5,24,28,15,15,9,13,16,20,11,11,5,9,8,8,4,4,4,4,37,24,15,8,4,3,11,5,7,3,3,2,1,0,1,1,7,10,4,5,24,23,14,7,10,16,18,11,10,5,8,6,6,12,4,2,2,10,29,37,16,9,7,3,9,6,6,8,4,1,3,1,0,0,1,6,1,3,28,24,13,13,15,11,19,11,11,7,8,4,9,13,2,6,7,7
7,2020-08-13,732807,2019 - 2020,Memphis Grizzlies,Milwaukee Bucks,33 - 39,56 - 16,19 - 17,26 - 11,119,106,55,45,9,9,46,36,36,27,18,15,4,8,3,3,23,23,12,11,90,98,45,39,45,59,57,58,32,26,25,32,33,40,13,13,20,27,22,21,20,17,3,5,17,12,8,6,5,3,1,1,1,0,1,3,1,1,26,30,10,8,16,22,16,17,8,5,8,12,10,13,2,3,8,10,38,29,11,9,3,2,8,7,11,7,1,4,1,0,1,1,2,9,1,5,27,20,16,10,11,10,20,14,12,7,8,7,7,6,4,3,3,3,33,24,14,6,3,0,11,6,9,6,9,5,5,2,1,2,8,10,4,4,20,23,11,8,9,15,11,15,6,7,5,8,9,8,5,1,4,7,26,32,9,13,0,2,9,11,8,8,3,3,1,1,0,0,12,1,6,1,17,25,8,13,9,12,10,12,6,7,4,5,7,13,2,6,5,7
8,2020-08-13,732810,2019 - 2020,Utah Jazz,San Antonio Spurs,43 - 28,32 - 38,22 - 12,13 - 23,118,112,43,44,12,9,31,35,25,24,8,15,7,4,5,8,10,36,6,20,101,79,47,39,54,40,55,59,32,29,23,30,46,20,15,10,31,10,41,24,15,8,3,0,12,8,7,5,1,4,1,1,2,2,3,8,2,5,28,19,15,9,13,10,9,17,7,8,2,9,19,2,8,1,11,1,20,26,13,12,5,2,8,10,4,8,2,2,0,1,1,3,2,6,1,3,26,21,8,10,18,11,17,15,6,7,11,8,9,6,2,3,7,3,26,27,9,12,3,4,6,8,6,5,2,3,1,0,2,3,2,11,1,6,24,21,11,10,13,11,16,17,8,8,8,9,8,4,3,2,5,2,31,35,6,12,1,3,5,9,8,6,3,6,2,5,0,0,3,11,2,6,23,18,13,10,10,8,13,10,11,6,2,4,10,8,2,4,8,4
9,2020-08-13,732804,2019 - 2020,Boston Celtics,Washington Wizards,48 - 23,24 - 47,26 - 9,8 - 27,90,96,51,56,13,18,38,38,22,22,18,18,8,11,7,6,14,24,8,13,88,89,35,34,53,55,53,63,27,24,26,39,35,26,8,10,27,16,21,26,13,15,3,5,10,10,6,5,7,6,5,2,1,2,0,13,0,7,24,21,9,7,15,14,15,17,6,6,9,11,9,4,3,1,6,3,30,30,13,13,2,5,11,8,7,8,5,1,3,0,2,0,6,2,4,1,21,28,11,13,10,15,12,19,8,10,4,9,9,9,3,3,6,6,26,22,9,12,1,3,8,9,7,6,2,6,2,4,2,1,5,2,2,1,20,22,10,8,10,14,12,12,8,3,4,9,8,10,2,5,6,5,13,18,16,16,7,5,9,11,2,3,4,5,1,2,2,3,3,7,2,4,23,18,5,6,18,12,14,15,5,5,9,10,9,3,0,1,9,2